Date,Affected pages
2025-09-26,0
2025-09-27,0
2025-09-28,0
2025-09-29,0
2025-09-30,0
2025-10-01,0
2025-10-02,0
2025-10-03,0
2025-10-04,0
2025-10-05,0
2025-10-06,0
2025-10-07,0
2025-10-08,0
2025-10-09,0
2025-10-10,0
2025-10-11,0
2025-10-12,0
2025-10-13,0
2025-10-14,0
2025-10-15,0
2025-10-16,0
2025-10-17,0
2025-10-18,0
2025-10-19,0
2025-10-20,0
2025-10-21,0
2025-10-22,0
2025-10-23,0
2025-10-24,0
2025-10-25,1
2025-10-26,1
2025-10-27,1
2025-10-28,1
2025-10-29,1
2025-10-30,1
2025-10-31,1
2025-11-01,1
2025-11-02,1
2025-11-03,1
2025-11-04,2
2025-11-05,2
2025-11-06,2
2025-11-07,2
2025-11-08,2
2025-11-09,2
2025-11-10,2
2025-11-11,2
2025-11-12,2
2025-11-13,2
2025-11-14,2
2025-11-15,2
2025-11-16,2
2025-11-17,2
2025-11-18,2
2025-11-19,2
2025-11-20,2
2025-11-21,2
2025-11-22,2
2025-11-23,2
2025-11-24,2
2025-11-25,2
2025-11-26,2
2025-11-27,2
2025-11-28,2
2025-11-29,2
2025-11-30,2
2025-12-01,2
2025-12-02,2
2025-12-03,2
2025-12-04,2
2025-12-05,2
2025-12-06,2
2025-12-07,2
2025-12-08,2
2025-12-09,2
2025-12-10,2
2025-12-11,2
2025-12-12,2
2025-12-13,2
2025-12-14,2
2025-12-15,2
2025-12-16,2
2025-12-17,2
2025-12-18,2
2025-12-19,2
2025-12-20,2
2025-12-21,2
2025-12-22,2
